business,portfolio,book,way,type,product,quantity,price,currency,trader,
ged,?derivative?,bookequityeuro,BUY,equity,TOTAL,168,45.20682,CZK,PFFRAC1,
ged,?derivative?,bookequityeuro,sell,equity,ILIAD,30,212.6455,GBP,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,GENERAL ELECTRIC CO,120,24.737122,CNY,PFFRAC2,
ged,?derivative?,bookequityeuro,sell,equity,CHEVRON,42,102.47286,EUR,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,VALLOUREC,354,21.986593,EUR,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,TOTAL,23,44.77778,HUF,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,ILIAD,11,213.75766,GBP,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,JPMORGAN CHASE And CO,126,61.990177,CZK,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,LAFARGE,112,66.32688,EUR,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,GENERAL ELECTRIC CO,269,25.327093,GBP,PFFRAC1,
ged,?derivative?,bookequityeuro,sell,equity,TOTAL,93,45.541027,EUR,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,INTEL CORP,192,31.669199,CZK,PFFRAC2,
ged,?derivative?,bookequityeuro,sell,equity,AXA,101,24.003828,EUR,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,THALES,168,53.448696,ARS,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,BPCE 5.1% 27/06/18 EUR,56,111.815636,EUR,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,GENERAL ELECTRIC CO,375,25.478827,EUR,PFFRAC2,
ged,?derivative?,bookequityeuro,sell,equity,JPMORGAN CHASE And CO,151,60.662163,EUR,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,ILIAD,7,215.8427,AUD,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,GEMALTO,267,8.872521,HUF,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,LCL 4.15% 19/04/19 EUR,75,113.92848,RUB,PFFRAC2,
ged,?derivative?,bookequityeuro,sell,equity,ILIAD,24,221.93446,CZK,PFFRAC1,
ged,?derivative?,bookequityeuro,sell,equity,AXA,148,23.64294,HUF,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,AXA,242,22.78561,CNY,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,CREDIT AGRICOLE 4.25% 04/02/23 EUR,36,122.76134,RUB,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,LCL 4.15% 19/04/19 EUR,31,115.90501,RUB,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,VERIZON COMMUNICATION INC,28,48.32043,CZK,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,VALLOUREC,49,21.226776,AUD,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,GENERAL ELECTRIC CO,219,24.792284,EUR,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,JPMORGAN CHASE And CO,1,62.196724,ARS,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,NEXITY,30,38.72278,CNY,PFFRAC2,
ged,?derivative?,bookequityeuro,sell,equity,LCL 4.15% 19/04/19 EUR,33,116.10466,HUF,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,VERIZON COMMUNICATION INC,110,49.313824,JPY,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,ILIAD,5,220.82387,EUR,PFFRAC1,
ged,?derivative?,bookequityeuro,sell,equity,LAFARGE,109,65.51101,RUB,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,AXA,63,22.913433,ARS,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,JPMORGAN CHASE And CO,65,62.53211,HUF,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,GEMALTO,208,9.275575,JPY,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,AXA,297,22.714428,EUR,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,VERIZON COMMUNICATION INC,13,47.922142,HUF,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,LAFARGE,23,64.093895,CNY,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,VALLOUREC,195,21.489916,EUR,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,ILIAD,34,220.31015,EUR,PFFRAC1,
ged,?derivative?,bookequityeuro,sell,equity,CREDIT AGRICOLE 4.25% 04/02/23 EUR,41,121.10655,ARS,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,ILIAD,25,216.91779,CZK,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,JPMORGAN CHASE And CO,50,59.18048,EUR,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,HOME DEPOT INCO,36,114.44969,USD,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,GEMALTO,845,9.306067,HUF,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,INTEL CORP,151,30.919815,GBP,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,ILIAD,11,211.92189,USD,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,ILIAD,40,214.3028,HUF,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,AMERICAN EXPRESS,1,44.06668,HUF,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,TOTAL,24,44.76645,AUD,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,THALES,141,52.60763,EUR,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,CHEVRON,48,103.209785,EUR,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,INTEL CORP,244,30.073269,EUR,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,VALLOUREC,363,22.207134,ARS,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,AMERICAN EXPRESS,173,45.677288,EUR,PFFRAC2,
ged,?derivative?,bookequityeuro,sell,equity,GEMALTO,903,8.861566,USD,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,ILIAD,21,212.787,ARS,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,GEMALTO,144,9.278826,AUD,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,NEXITY,135,38.508137,EUR,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,LAFARGE,141,65.738266,EUR,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,INTEL CORP,202,31.045712,RUB,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,AMERICAN EXPRESS,6,44.21382,EUR,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,BPCE 5.1% 27/06/18 EUR,17,116.47488,JPY,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,NEXITY,173,37.709816,AUD,PFFRAC2,
ged,?derivative?,bookequityeuro,sell,equity,HOME DEPOT INCO,13,115.28723,EUR,PFFRAC1,
ged,?derivative?,bookequityeuro,sell,equity,LAFARGE,2,65.69763,HUF,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,GENERAL ELECTRIC CO,301,25.008871,HUF,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,LCL 4.15% 19/04/19 EUR,9,110.93055,CZK,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,GENERAL ELECTRIC CO,95,25.044163,USD,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,ILIAD,37,222.85352,EUR,PFFRAC1,
ged,?derivative?,bookequityeuro,sell,equity,BPCE 5.1% 27/06/18 EUR,76,116.92065,ARS,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,INTEL CORP,147,31.057016,CZK,PFFRAC1,
ged,?derivative?,bookequityeuro,sell,equity,NEXITY,53,38.456787,JPY,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,TOTAL,18,44.274166,USD,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,INTEL CORP,137,30.804829,EUR,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,AREVA,540,9.072246,EUR,PFFRAC2,
ged,?derivative?,bookequityeuro,sell,equity,TOTAL,92,45.065964,AUD,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,TOTAL,74,43.381428,GBP,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,NEXITY,25,37.73435,CZK,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,VALLOUREC,416,21.760788,HUF,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,ILIAD,40,214.06346,EUR,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,HOME DEPOT INCO,15,117.99777,CZK,PFFRAC1,
