business,portfolio,book,way,type,product,quantity,price,currency,trader,
ged,?derivative?,bookequityeuro,BUY,equity,VALLOUREC,87,22.1207,USD,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,GENERAL ELECTRIC CO,93,25.630762,EUR,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,TOTAL,129,44.579185,AUD,PFFRAC2,
ged,?derivative?,bookequityeuro,sell,equity,CREDIT AGRICOLE 4.25% 04/02/23 EUR,60,125.83034,HUF,PFFRAC2,
ged,?derivative?,bookequityeuro,sell,equity,VALLOUREC,259,21.413332,USD,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,JPMORGAN CHASE And CO,84,60.956394,AUD,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,HOME DEPOT INCO,76,117.57741,CNY,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,LAFARGE,90,65.52008,RUB,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,CHEVRON,14,99.90066,EUR,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,GEMALTO,914,8.900746,JPY,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,JCDECAUX SA,281,33.36321,RUB,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,JCDECAUX SA,131,33.558544,HUF,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,THALES,21,53.996105,GBP,PFFRAC2,
ged,?derivative?,bookequityeuro,sell,equity,JCDECAUX SA,212,32.96795,EUR,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,LAFARGE,64,65.21107,USD,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,AREVA,800,8.875082,AUD,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,BPCE 5.1% 27/06/18 EUR,52,114.14894,JPY,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,LCL 4.15% 19/04/19 EUR,75,115.51869,ARS,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,JCDECAUX SA,206,33.581497,JPY,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,NEXITY,63,38.62665,HUF,PFFRAC1,
