business,portfolio,book,way,type,product,quantity,price,currency,trader,
ged,?derivative?,bookequityeuro,BUY,equity,JPMORGAN CHASE And CO,125,59.860725,GBP,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,NEXITY,106,38.6615,GBP,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,AREVA,981,8.887955,AUD,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,JPMORGAN CHASE And CO,139,61.04844,ARS,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,AMERICAN EXPRESS,75,45.08189,RUB,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,LAFARGE,95,64.91551,JPY,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,THALES,131,55.00435,CZK,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,THALES,74,53.519142,CNY,PFFRAC2,
ged,?derivative?,bookequityeuro,sell,equity,CREDIT AGRICOLE 4.25% 04/02/23 EUR,64,125.62554,CNY,PFFRAC2,
ged,?derivative?,bookequityeuro,sell,equity,VALLOUREC,318,22.169495,JPY,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,GENERAL ELECTRIC CO,214,25.653452,CNY,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,GENERAL ELECTRIC CO,100,25.558556,EUR,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,VALLOUREC,390,21.57856,EUR,PFFRAC1,
ged,?derivative?,bookequityeuro,sell,equity,INTEL CORP,308,30.923065,GBP,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,VERIZON COMMUNICATION INC,95,47.93752,CZK,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,VERIZON COMMUNICATION INC,159,49.229946,EUR,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,HOME DEPOT INCO,71,115.2991,CNY,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,TOTAL,106,45.315567,GBP,PFFRAC2,
